City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
279,Qidong,CN,31.8128,121.6561,48.92,77,100,16.28,overcast clouds
280,Mahebourg,MU,-20.4081,57.7,79.25,69,40,11.5,scattered clouds
281,Kruglolesskoye,RU,44.6589,42.8142,33.42,96,100,5.19,overcast clouds
282,East London,ZA,-33.0153,27.9116,63.54,100,75,1.14,broken clouds
283,Conroe,US,30.3119,-95.456,52.05,76,1,4.72,clear sky
284,Qaanaaq,GL,77.484,-69.3632,14.67,68,100,7.9,overcast clouds
285,Paamiut,GL,61.994,-49.6678,20.34,75,88,7.34,overcast clouds
286,Ambovombe,MG,-25.1667,46.0833,75.38,77,100,3.13,overcast clouds
287,Kaitangata,NZ,-46.2817,169.8464,58.39,93,98,5.3,overcast clouds
288,Faya,SA,18.3851,42.4509,50.11,66,36,2.53,scattered clouds
289,Abnub,EG,27.2696,31.1511,57.42,56,0,5.17,clear sky
290,Moirang,IN,24.5,93.7667,55.45,43,5,3.02,clear sky
291,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,74,100,9.22,overcast clouds
292,Sobolevo,RU,54.4299,31.8996,1.83,100,67,4.52,broken clouds
293,Aswan,EG,24.0934,32.907,60.1,58,0,5.75,clear sky
294,Shizunai,JP,42.3339,142.3669,27.36,61,100,27.58,overcast clouds
295,Miraflores,MX,19.2167,-98.8083,60.03,56,49,4.03,scattered clouds
296,Alice Springs,AU,-23.7,133.8833,78.35,15,40,14.97,scattered clouds
297,Huancavelica,PE,-12.7667,-74.9833,37.98,89,100,2.1,moderate rain
298,Yabrud,SY,33.9674,36.6574,43.88,89,8,1.1,clear sky
299,Yate,GB,51.5407,-2.4184,27.79,94,11,1.54,few clouds
300,Broken Hill,AU,-31.95,141.4333,74.7,21,0,16.69,clear sky
301,Jacareacanga,BR,-6.2222,-57.7528,73.47,96,82,0.27,broken clouds
302,Harrismith,ZA,-28.2728,29.1295,59.54,88,90,2.13,overcast clouds
303,Rawson,AR,-43.3002,-65.1023,59.45,61,24,9.69,few clouds
304,Mecca,SA,21.4267,39.8261,71.92,54,0,4.61,clear sky
305,Kruisfontein,ZA,-34.0033,24.7314,66.96,90,81,3.4,broken clouds
306,Molepolole,BW,-24.4066,25.4951,66.34,77,85,4.63,moderate rain
307,Finale Ligure,IT,44.1695,8.3436,50.29,86,100,5.99,overcast clouds
308,Kirkwall,GB,58.9848,-2.9587,33.85,93,100,5.75,snow
309,Bubaque,GW,11.2833,-15.8333,81.46,51,0,7.49,clear sky
310,Turbat,PK,26.0023,63.044,66.22,19,2,9.22,clear sky
311,Talcahuano,CL,-36.7167,-73.1167,60.48,77,0,10.36,clear sky
312,Raposa,BR,-6.5167,-44.1833,69.06,92,86,1.05,overcast clouds
313,Pisco,PE,-13.7,-76.2167,69.85,83,75,3.44,broken clouds
314,Airai,TL,-8.9266,125.4092,72.57,66,89,2.82,overcast clouds
315,Lodja,CD,-3.4833,23.4333,67.46,99,100,0.78,overcast clouds
316,Posse,BR,-14.0931,-46.3694,65.8,96,98,2.55,overcast clouds
317,Kotido,UG,2.9806,34.1331,69.4,60,1,4.68,clear sky
318,Straseni,MD,47.1414,28.6103,37.42,99,99,8.12,overcast clouds
319,Strezhevoy,RU,60.7333,77.5889,-1.91,85,17,10.27,few clouds
320,Rosarito,MX,32.3333,-117.0333,56.41,67,100,5.88,overcast clouds
321,Insar,RU,53.8653,44.3738,22.51,91,100,14.45,overcast clouds
322,Zhanaozen,KZ,43.3,52.8,34.07,76,44,12.59,scattered clouds
323,Hasaki,JP,35.7333,140.8333,57.29,38,1,13.94,clear sky
324,Grodzisk Mazowiecki,PL,52.1039,20.6337,25.77,91,100,8.39,overcast clouds
325,Ayagoz,KZ,47.9714,80.4392,2.97,73,0,9.57,clear sky
326,Mehamn,NO,71.0357,27.8492,33.71,64,75,17.27,broken clouds
327,Songling,CN,31.1933,120.7176,49.82,61,100,10.29,overcast clouds
328,Dong Hoi,VN,17.4833,106.6,71.02,74,20,8.52,few clouds
329,Maniitsoq,GL,65.4167,-52.9,28.27,83,100,8.08,overcast clouds
330,Muros,ES,42.7762,-9.0603,50.09,95,99,10.07,overcast clouds
331,Union,US,40.6334,-74.2663,44.53,91,100,20.71,moderate rain
332,Port Hardy,CA,50.6996,-127.4199,35.78,93,100,3.44,overcast clouds
333,Batemans Bay,AU,-35.7167,150.1833,66.09,47,44,16.75,scattered clouds
334,Cam Ranh,VN,11.9214,109.1591,84.16,61,40,12.66,scattered clouds
335,Ayan,RU,56.45,138.1667,-10.3,66,100,21.25,overcast clouds
336,Ahuimanu,US,21.4447,-157.8378,78.51,77,75,5.75,broken clouds
337,Kansanshi,ZM,-12.0951,26.4273,60.49,89,98,1.39,overcast clouds
338,Srednekolymsk,RU,67.45,153.6833,-20.6,98,100,14.18,light snow
339,Belaya Gora,RU,68.5333,146.4167,-47.27,98,36,1.23,scattered clouds
340,Uyskoye,RU,54.3775,60.0047,-4.31,100,76,2.93,broken clouds
341,Kochki,RU,54.3358,80.4806,-5.71,92,38,7.83,scattered clouds
342,Aleksandro-Nevskiy,RU,53.4751,40.2095,25.45,95,100,14.38,light snow
343,Porto Novo,BJ,6.4965,2.6036,80.42,89,75,3.58,light rain
344,Arnprior,CA,45.4334,-76.3494,36.64,97,100,14.43,snow
