City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Alofi,NU,2022-12-10 22:02:06,-19.0595,-169.9187,79.34,81,99,12.62
263,Barcelos,PT,2022-12-10 22:06:38,41.5388,-8.6151,50.14,81,100,1.01
264,Turukhansk,RU,2022-12-10 22:06:38,65.8167,87.9833,-35.91,100,82,1.9
265,Tiksi,RU,2022-12-10 22:02:14,71.6872,128.8694,-14.49,98,100,12.15
266,Borger,NL,2022-12-10 22:06:38,52.9233,6.7931,31.03,95,79,6.11
267,Kloulklubed,PW,2022-12-10 22:06:39,7.0419,134.2556,82.54,71,29,1.68
268,Campos Altos,BR,2022-12-10 22:06:39,-19.6961,-46.1714,71.4,68,39,0.96
269,Naze,JP,2022-12-10 22:06:39,28.3667,129.4833,65.08,71,62,15.64
270,Zheleznodorozhnyy,RU,2022-12-10 22:06:39,55.7503,38.0042,32.61,99,100,5.28
271,La Ronge,CA,2022-12-10 22:06:40,55.1001,-105.2842,7.02,85,75,6.91
272,Varzea Da Palma,BR,2022-12-10 22:06:40,-17.5981,-44.7308,71.91,92,96,5.82
273,Mandali,IQ,2022-12-10 22:06:40,33.7499,45.5541,55.76,48,0,7.92
274,Ninh Binh,VN,2022-12-10 22:06:41,20.2539,105.975,61.23,89,100,6.15
275,Destin,US,2022-12-10 22:04:44,30.3935,-86.4958,74.64,80,0,6.91
276,Yeppoon,AU,2022-12-10 22:06:41,-23.1333,150.7333,74.98,78,90,13.38
277,Sokolo,ML,2022-12-10 22:07:41,14.7328,-6.1219,78.67,13,0,9.44
278,High Prairie,CA,2022-12-10 22:07:42,55.4334,-116.4858,15.21,87,100,8.86
279,Savannah Bight,HN,2022-12-10 22:07:42,16.45,-85.85,80.06,70,4,7.87
280,Eyl,SO,2022-12-10 22:07:42,7.9803,49.8164,74.93,73,52,16.26
281,Ingham,US,2022-12-10 22:07:42,42.6,-84.3833,34.83,88,100,0.0
282,Nouakchott,MR,2022-12-10 22:07:43,18.0858,-15.9785,75.13,59,0,12.24
283,Khorinsk,RU,2022-12-10 22:07:43,52.1657,109.7726,-6.83,96,23,2.01
284,Olinda,BR,2022-12-10 22:07:43,-8.0089,-34.8553,82.13,74,40,6.91
285,Mount Isa,AU,2022-12-10 22:07:43,-20.7333,139.5,87.57,15,0,2.3
286,Buraydah,SA,2022-12-10 22:07:44,26.326,43.975,58.37,41,0,7.54
287,Provideniya,RU,2022-12-10 22:07:44,64.3833,-173.3,30.87,98,100,11.74
288,Oktyabrskoye,RU,2022-12-10 22:07:44,43.0645,44.7417,23.14,100,0,2.24
289,Veraval,IN,2022-12-10 22:07:44,20.9,70.3667,70.61,38,1,11.12
290,Denpasar,ID,2022-12-10 22:07:20,-8.65,115.2167,78.46,88,40,2.3
